Treatment,Plot,Range,Row,Name,Species,Fresh Weight (g),Dry Weight (g),Time,Plant height(cm),Plant height(cm)  – rep 2,Weight (kg/plot),Yield (t/ha)
HTPM,6012,6,12,IGW6580_98,Wheat,56.03,11.2,August,29,32,2.95,2.39
HTPM,1011,1,11,IGW6580_98,Wheat,265.48,52,September,49,51,3.7,3
HTPM,6012,6,12,IGW6580_98,Wheat,121.55,25.4,September,45,49,2.95,2.39
HTPM,1011,1,11,IGW6580_98,Wheat,453.2,200.7,October,74,70,3.7,3
HTPM,6012,6,12,IGW6580_98,Wheat,388.6,169.5,October,62,66,2.95,2.39
HTPM,1009,1,9,IGW6583_105,Wheat,58.82,11.68,August,29,29,3.2,2.6
HTPM,6008,6,8,IGW6583_105,Wheat,64.46,12.6,August,22,26,2.75,2.23
HTPM,1009,1,9,IGW6583_105,Wheat,243.03,47.2,September,45,42,3.2,2.6
HTPM,6008,6,8,IGW6583_105,Wheat,97.9,18.2,September,48,48,2.75,2.23
HTPM,1009,1,9,IGW6583_105,Wheat,308.7,132,October,65,67,3.2,2.6
HTPM,6008,6,8,IGW6583_105,Wheat,321.3,139.6,October,65,67,2.75,2.23
HTPM,2008,2,8,IGW6593_118,Wheat,67.58,13.36,August,28,25,2.9,2.35
HTPM,6010,6,10,IGW6593_118,Wheat,40.1,7.8,August,30,29,2.5,2.03
HTPM,2008,2,8,IGW6593_118,Wheat,108,22,September,47,44,2.9,2.35
HTPM,6010,6,10,IGW6593_118,Wheat,119.13,24.6,September,49,58,2.5,2.03
HTPM,2008,2,8,IGW6593_118,Wheat,319.9,146.7,October,73,76,2.9,2.35
HTPM,6010,6,10,IGW6593_118,Wheat,225.8,82.6,October,74,72,2.5,2.03
HTPM,1008,1,8,IGW6637_100,Wheat,45.58,10.94,August,35,32,2.95,2.39
HTPM,5012,5,12,IGW6637_100,Wheat,44.75,9.78,August,29,34,2.9,2.35
HTPM,1008,1,8,IGW6637_100,Wheat,207.29,43.4,September,57,52,2.95,2.39
HTPM,5012,5,12,IGW6637_100,Wheat,114.1,25.6,September,44,47,2.9,2.35
HTPM,1008,1,8,IGW6637_100,Wheat,335.6,158.1,October,77,75,2.95,2.39
HTPM,5012,5,12,IGW6637_100,Wheat,295.2,140.3,October,71,71,2.9,2.35
HTPM,2012,2,12,IGW6648_103,Wheat,50.08,9.32,August,28,34,3.25,2.64
HTPM,4007,4,7,IGW6648_103,Wheat,60.82,12.14,August,28,29,2.85,2.31
HTPM,2012,2,12,IGW6648_103,Wheat,115.5,24.5,September,56,54,3.25,2.64
HTPM,4007,4,7,IGW6648_103,Wheat,115.1,22.5,September,52,50,2.85,2.31
HTPM,2012,2,12,IGW6648_103,Wheat,400.4,183.7,October,67,72,3.25,2.64
HTPM,4007,4,7,IGW6648_103,Wheat,207.1,95.2,October,67,71,2.85,2.31
HTPM,1006,1,6,La Trobe_80,Barley,86.42,16.69,August,25,28,4,3.25
HTPM,5002,5,2,La Trobe_80,Barley,31.71,6.93,August,27,25,2.9,2.35
HTPM,1006,1,6,La Trobe_80,Barley,255,50,September,39,42,4,3.25
HTPM,5002,5,2,La Trobe_80,Barley,203.64,44.2,September,46,44,2.9,2.35
HTPM,1006,1,6,La Trobe_80,Barley,325.9,157.1,October,64,66,4,3.25
HTPM,5002,5,2,La Trobe_80,Barley,254.3,122.4,October,65,58,2.9,2.35
HTPM,3002,3,2,Litmus_91,Barley,70.92,14.73,August,26,25,3.7,3
HTPM,4003,4,3,Litmus_91,Barley,84.47,22.65,August,25,28,3.5,2.84
HTPM,3002,3,2,Litmus_91,Barley,206.89,42.1,September,51,54,3.7,3
HTPM,4003,4,3,Litmus_91,Barley,218.9,46.9,September,55,49,3.5,2.84
HTPM,3002,3,2,Litmus_91,Barley,440.5,216.8,October,67,72,3.7,3
HTPM,4003,4,3,Litmus_91,Barley,234.2,113.9,October,75,77,3.5,2.84
